id,title,budget,revenue,date_id
24070,Mixed Nuts,1.5E7,1.1E7,19941221
10510,Miracle on 34th Street,825000.0,4.6264384E7,19941118
8438,Murder in the First,3000000.0,1.7381942E7,19950120
1945,Nell,3.1E7,1.06683817E8,19941223
63105,Nemesis 2 - Nebula,1.8E7,1.15E7,19950926
131957,Nina Takes a Lover,6000000.0,7185518.0,19950303
241,Natural Born Killers,3000000.0,5.0282766E7,19940825
9058,Only You,3500000.0,1.16E7,19940917
527,Once Were Warriors,185000.0,2201126.0,19940902
18220,Poison Ivy II: Lily,4380750.0,1947000.0,19960116
6950,Outbreak,5.0E7,1.8985956E8,19950310
101,Leon: The Professional,1.6E7,4.5284974E7,19940914
63020,The Perez Family,1.1E7,2832826.0,19950512
680,Pulp Fiction,8000000.0,2.13928762E8,19940910
41478,Panther,286281.0,6834525.0,19951110
25296,Pushing Hands,400000.0,152322.0,19920201
40156,Priest,8000000.0,4176932.0,19940101
11450,Quiz Show,1.3E8,1.19269486E8,19940916
10452,Queen Margot,1.7E7,2.17408513E8,19940513
12106,The Quick and the Dead,3.2E7,1.855246E7,19950209
161495,Roommates,2.2E7,1.24E7,19950301
109,Three Colors: White,6500000.0,1.1118E7,19940126
159185,"Red Firecracker, Green Firecracker",6000000.0,1.1918069E7,19941014
28033,Stuart Saves His Family,1200000.0,2500000.0,19950412
22586,The Swan Princess,3.5E7,9771658.0,19941118
2164,Stargate,5.5E7,1.96567262E8,19941027
11395,The Santa Clause,2.2E7,1.89833357E8,19941110
278,The Shawshank Redemption,2.5E7,2.8341469E7,19940923
87078,Suture,1380000.0,102780.0,19930914
20306,Swimming with Sharks,3735600.0,635064.0,19940910
9067,Tank Girl,2.5E7,4064495.0,19950331
193,Star Trek: Generations,3.8E7,1.2E8,19941117
25066,Tales from the Hood,6000000.0,1.2E7,19950524
46797,Tom & Viv,1290000.0,1129000.0,19940415
36141,The Underneath,6500000.0,809686.0,19950428
1587,What's Eating Gilbert Grape,1.1E7,1.0032765E7,19931217
9271,Virtuosity,3.0E7,2.4048E7,19950804
