movie_id,company_id
26748,1303
26748,4921
9294,5977
11363,2217
31546,1076
31546,982
31546,4707
31546,5097
31546,5769
31546,4619
18550,3784
11511,5977
11511,2887
2925,5153
28628,3133
28628,816
28628,515
3595,5977
3595,808
9308,6013
92381,4302
92381,3424
18555,5024
18555,4838
18555,1106
12123,6062
12123,1109
12123,6555
12123,5769
10830,2999
10830,6013
10546,3864
31417,3499
31417,1069
9431,6154
9431,5681
9431,6151
144982,6575
47907,1018
10061,4420
10061,5024
549,3863
549,1804
549,3024
10478,4851
10478,6370
66634,6232
116690,5247
238,4420
238,201
88224,4597
132641,5937
9303,1633
9303,5441
23945,4851
23945,6370
22479,2123
22479,1141
22479,5105
38955,2388
11015,4420
11015,6154
11015,5940
11015,3974
11015,4354
11015,4588
11015,3676
11015,5722
11015,816
9306,4085
58770,6154
58770,2429
58770,267
10723,6154
10987,3864
20318,2123
164,4420
164,3051
426,4420
426,202
567,4420
3078,1303
13528,3784
213,3784
284,6134
284,5838
239,5839
239,427
4808,6154
289,6370
963,6370
11113,6370
804,4420
26531,6062
770,5191
770,3784
599,4420
15,4755
15,3774
62,5482
62,3784
22490,3784
223,5191
303,4755
4174,5191
29376,3784
1859,3784
10907,6370
1939,6062
3598,1303
3080,4755
1712,6370
3529,3784
1585,4755
1585,3370
3083,1302
900,4755
22688,4625
26378,6370
10331,3273
10331,4247
10331,2763
10331,3664
488,6134
488,2801
488,4976
261,501
261,3784
125587,1076
125587,888
125587,3417
125587,830
39940,1303
11076,1302
11076,5107
10861,1302
1770,2328
1770,6370
9333,4085
9333,3789
47260,1166
47260,1230
47260,1717
9400,4085
11306,1302
11306,1018
11306,5301
9625,6370
9625,5171
10680,6348
6346,2770
6346,6154
6346,1539
35115,6355
31102,6355
15944,6355
173,6355
24795,6354
24795,989
11224,4755
11224,6355
15947,6354
9078,6355
29682,6355
8367,6370
8367,3909
433,6355
11360,4755
11360,6355
12335,6355
12092,4755
12092,6355
10948,6355
11229,5833
11229,472
11229,3963
15121,6062
15121,4951
15121,378
562,6062
562,2413
562,5290
10163,4085
10163,233
48862,3864
11159,1076
11159,4237
11159,1141
11159,5882
9591,6062
9591,1259
9591,1252
30500,4804
30500,6037
41843,3771
11412,4085
11412,2192
11412,5863
10586,1351
10586,4415
42314,6062
42314,2972
42314,1067
49471,1302
49471,48
38153,2641
38153,1204
25147,4893
25147,4588
25147,816
454,614
454,6062
10218,3864
10218,2805
10218,5774
819,4690
819,6370
819,561
38191,4851
38191,6370
11238,6358
66473,4755
1834,4755
252,4420
252,1535
11561,4972
11302,6134
11302,2956
623,3784
623,4687
583,2538
583,4715
12614,3784
12614,410
12614,4473
11575,6370
475,5706
475,6380
521,6370
88,2444
88,6234
500,3424
500,3410
500,1657
792,4302
792,2596
402,6013
402,960
402,1001
10537,2770
10537,2933
10537,1001
10537,688
11386,3864
11386,1076
11386,4360
11386,4145
11386,1906
11386,830
9504,4085
9504,2296
9504,6592
15764,3114
15764,2794
601,6154
601,267
67365,4290
2119,4420
2119,1671
744,4420
702,1085
702,6370
17642,1639
427043,6400
11112,6154
11112,2641
11112,2887
21612,893
102461,1220
36998,1894
36998,960
36998,1465
36998,1052
36998,1044
200383,4851
200383,6370
26626,6501
26626,6406
11843,6134
11843,3003
11843,4540
11843,2795
10379,4588
2756,6062
2756,3387
2756,4354
790,120
790,1735
790,1565
1103,120
1103,2386
1103,2874
1103,1234
4480,4873
4480,2100
4480,1473
4480,103
4480,6089
4480,4745
4481,4873
4481,2100
4481,1473
4481,103
4481,4745
49688,6286
49688,1020
49688,364
762,4716
762,3800
762,4026
762,6066
55049,960
55049,2330
55049,3589
55049,3226
55049,1052
531,125
4483,1727
4483,5357
4483,2225
18919,4383
18919,816
18919,453
18919,3489
18919,1052
18919,2581
18919,3172
31556,853
61461,5138
61461,2899
127973,4420
86369,6099
8074,3343
8074,375
8074,326
8074,4424
38554,5024
49763,3909
7452,1810
7452,1866
7452,6212
892,2517
892,5377
892,2179
892,6243
892,1349
892,6130
892,5375
892,2896
26561,3864
26561,518
26561,2464
18129,3864
18129,1197
409,3864
409,5906
10161,2001
10161,2434
10161,4769
10409,670
10409,482
10409,3508
2469,1788
510,6134
510,1977
510,6370
11455,4420
1891,3482
1891,6062
85,3482
85,4420
679,6062
679,5051
679,800
429,6134
429,1348
429,4674
429,418
389,6134
389,4304
947,2664
185,2572
185,6370
595,6154
28,6134
28,6583
335,4420
335,4776
335,2120
1892,3482
1892,6062
769,6478
348,6062
348,800
11645,4146
11645,2466
11645,2602
525,6154
240,4420
240,5797
600,5482
600,6370
600,4015
279,6370
3109,4877
703,6134
9549,6370
9549,5834
387,4765
387,5618
387,1303
387,606
387,6419
387,6067
9277,6154
343,4420
37291,1076
37291,6564
37291,4879
37291,6043
490,5599
490,5798
218,4302
218,4354
218,2595
218,1170
218,1897
763,6476
763,4097
763,491
9665,6013
9665,2248
18971,798
18971,6330
379,6062
379,1230
207,5977
207,5295
37247,3283
